time,seq,class,rtt,hops
1149,187,1,0,3
1150,1149,3,23.8086,3
1151,22,1,0,3
1152,315,3,0,3
1153,22,1,0,3
1154,39,1,0,3
1155,1154,4,18.5606,3
1156,162,1,0,3
1157,435,1,0,3
1159,76,1,0,3
1160,1157,3,-1,-1
1160,52,1,0,3
1161,180,1,0,3
1162,69,1,0,3
1163,128,1,0,3
1164,81,1,0,3
1165,166,1,0,3
1166,60,1,0,3
1167,33,1,0,3
1168,1167,4,29.2486,3
1169,338,1,0,3
1170,128,1,0,3
1171,112,1,0,3
1172,168,1,0,3
1173,39,1,0,3
1174,166,1,0,3
1175,12,1,0,3
1176,435,1,0,3
1177,32,1,0,3
1178,121,1,0,3
1179,435,1,0,3
1180,180,1,0,3
1181,53,1,0,3
1182,62,1,0,3
1183,93,1,0,3
1184,121,1,0,3
1185,180,1,0,3
1186,100,1,0,3
1187,124,1,0,3
1188,9,1,0,3
1189,14,1,0,3
1190,39,1,0,3
1191,25,1,0,3
1192,168,1,0,3
1194,22,1,0,3
1195,1192,4,-1,-1
1195,58,1,0,3
1196,19,1,0,3
1197,163,1,0,3
1198,91,1,0,3
1199,166,1,0,3
1200,45,1,0,3
1201,338,1,0,3
1202,435,1,0,3
1203,52,1,0,3
1204,757,2,0,3
1205,53,1,0,3
1206,154,1,0,3
1207,17,1,0,3
1208,1207,19,21.7607,3
1209,10,1,0,3
1210,37,1,0,3
1211,17,1,0,3
1212,81,1,0,3
1213,97,1,0,3
1214,12,1,0,3
1215,56,1,0,3
1216,14,1,0,3
1217,33,1,0,3
1218,17,1,0,3
1219,153,1,0,3
1220,57,1,0,3
1221,83,1,0,3
1222,22,1,0,3
1223,180,1,0,3
1224,84,1,0,3
1225,168,1,0,3
1226,58,1,0,3
1227,100,1,0,3
1228,338,1,0,3
1229,1,1,0,3
1230,14,1,0,3
1231,1230,4,27.3287,3
1232,187,1,0,3
1233,1232,2,27.6486,3
1234,52,1,0,3
1235,101,1,0,3
1237,76,1,0,3
